出発地のノード番号,到着側のノード番号,ウェイの距離[m]
56099,48430,5.98
48430,56099,5.98
48430,60875,45.27
60875,48430,45.27
60875,1098,12.96
1098,60875,12.96
1098,20077,7.81
20077,1098,7.81
20077,42808,11.64
42808,20077,11.64
42808,13647,65.95
13647,42808,65.95
13647,54289,4.64
54289,13647,4.64
2424,2420,38.82
2420,2424,38.82
2420,48624,124.22
48624,2420,124.22
48624,19219,56.07
19219,48624,56.07
19219,5705,78.06
5705,19219,78.06
5705,12737,6.71
12737,5705,6.71
12737,9318,6.33
9318,12737,6.33
9318,48623,68.94
48623,9318,68.94
48623,20080,88.4
20080,48623,88.4
4655,43613,14.84
43613,4655,14.84
43613,67535,69.8
67535,43613,69.8
67535,2443,4.72
2443,67535,4.72
20086,20087,13.32
20087,20086,13.32
20087,2409,165.11
2409,20087,165.11
2409,48623,13.61
48623,2409,13.61
48623,2410,17.77
2410,48623,17.77
86765,40048,4.19
40048,86765,4.19
40048,3351,5.69
3351,40048,5.69
3351,3352,65.75
3352,3351,65.75
21921,15041,9.48
15041,21921,9.48
15041,21922,54.24
21922,15041,54.24
21923,21924,56.51
21924,21923,56.51
21925,21924,64.42
21924,21925,64.42
21924,21926,27.56
21926,21924,27.56
21927,21928,64.32
21928,21927,64.32
21921,13496,62.93
13496,21921,62.93
13496,57508,56.44
57508,13496,56.44
57508,13497,84.44
13497,57508,84.44
13497,57507,24.53
57507,13497,24.53
57507,55096,79.09
55096,57507,79.09
55096,55104,37.25
55104,55096,37.25
55104,57514,64.02
57514,55104,64.02
57514,55038,22.35
55038,57514,22.35
55038,17751,26.82
17751,55038,26.82
17751,23273,12.38
23273,17751,12.38
23273,17750,10.53
17750,23273,10.53
17750,57513,49.91
57513,17750,49.91
57513,23274,62.98
23274,57513,62.98
23274,13538,39.11
13538,23274,39.11
13538,13544,37.3
13544,13538,37.3
13544,24407,61.6
24407,13544,61.6
24407,37791,5.09
37791,24407,5.09
37791,55110,59.74
55110,37791,59.74
55110,13560,33.59
13560,55110,33.59
13560,13570,45.75
13570,13560,45.75
13570,20078,21.36
20078,13570,21.36
20078,56119,29.26
56119,20078,29.26
56119,32490,9.1
32490,56119,9.1
32490,56111,10.76
56111,32490,10.76
56111,13586,54.33
13586,56111,54.33
13586,42814,27.29
42814,13586,27.29
42814,34935,27.83
34935,42814,27.83
34935,13612,56.33
13612,34935,56.33
13612,13639,71.27
13639,13612,71.27
13639,32526,48.1
32526,13639,48.1
23275,85856,12.59
85856,23275,12.59
85856,13665,46.23
13665,85856,46.23
13665,21994,26.91
21994,13665,26.91
21994,85852,27.47
85852,21994,27.47
85852,13663,31.57
13663,85852,31.57
13663,13660,83.16
13660,13663,83.16
13660,13659,29.05
13659,13660,29.05
13659,13658,72.26
13658,13659,72.26
13658,13655,102.25
13655,13658,102.25
13655,32526,61.05
32526,13655,61.05
19595,57597,12.26
57597,19595,12.26
57597,57594,2.36
57594,57597,2.36
57594,19596,10.2
19596,57594,10.2
19596,19597,27.52
19597,19596,27.52
19597,19598,45.04
19598,19597,45.04
19598,19599,50.99
19599,19598,50.99
19599,19600,74.72
19600,19599,74.72
19600,49813,55.93
49813,19600,55.93
49813,40635,1.92
40635,49813,1.92
40635,66454,6.56
66454,40635,6.56
66454,9498,7.74
9498,66454,7.74
9498,40641,10.68
40641,9498,10.68
40641,66455,102.32
66455,40641,102.32
