ノード番号,緯度,経度,3次メッシュID
66547,36.6892671,137.2067178,5537126
66548,36.6892549,137.207603,5537126
66549,36.6891598,137.2075502,5537126
66550,36.6892309,137.2069882,5537126
66551,36.689348,137.206071,5537126
66552,36.689449,137.2052849,5537126
66553,36.6894882,137.2049688,5537126
66554,36.6896798,137.2041679,5537126
66555,36.6897752,137.2041267,5537126
66556,36.689801,137.2039121,5537126
66557,36.6897219,137.2038233,5537126
66558,36.6895943,137.2048388,5537126
66559,36.6896935,137.2047825,5537126
66560,36.6897225,137.2045492,5537126
66561,36.6896413,137.2044693,5537126
66562,36.6896324,137.2045387,5537126
66563,36.6895397,137.2045179,5537126
66564,36.6896686,137.2042559,5537126
66565,36.6895751,137.204236,5537126
66566,36.6896058,137.203991,5537126
66567,36.6895959,137.204824,5537126
66568,36.6895098,137.2047554,5537126
66569,36.6896365,137.2037472,5537126
66570,36.6897343,137.2037179,5537126
66571,36.6900612,137.2087829,5537126
66572,36.7078958,137.1164009,5537049
66573,36.6984653,137.2269919,5537138
66574,36.6975832,137.2294536,5537138
66575,36.6976214,137.229464,5537138
66576,36.594889,137.127613,54377110
66577,36.594889,137.131648,54377110
66578,36.5948897,137.1386476,54377111
66579,36.6834208,137.1991792,5537125
66580,36.594968,137.113171,54377019
66581,36.594968,137.126104,54377110
66582,36.594996,137.127871,54377110
66583,36.5951778,137.1245934,54377019
